Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
rustls,EXP_DBL_1236,10,10.837157,10.818243,0.035270,76.840354,76.840354,0.000000,4305008.000000,4305008
rustls,EXP_DBL_1237,10,10.833606,10.821974,0.018344,77.774213,77.774213,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1238,10,10.837488,10.820672,0.032706,78.305183,78.305183,0.000000,4305272.000000,4305272
rustls,EXP_DBL_1239,10,10.841919,10.821530,0.065145,77.169991,77.169991,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1240,10,10.823698,10.802128,0.007502,77.833691,77.833691,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1241,10,10.838449,10.821603,0.050875,78.468597,78.468597,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1242,10,10.838540,10.822514,0.032101,77.860221,77.860221,0.000000,4338256.000000,4338256
rustls,EXP_DBL_1243,10,10.834680,10.814796,0.038972,77.537356,77.537356,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1244,10,10.830929,10.817752,0.047072,78.039764,78.039764,0.000000,4318544.000000,4318544
rustls,EXP_DBL_1245,10,10.840319,10.815458,0.082394,78.098508,78.098508,0.000000,4304944.000000,4304944
rustls,EXP_DBL_1246,10,10.839319,10.819498,0.045519,76.855584,76.855584,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1247,10,10.816168,10.807530,0.017735,77.175806,77.175806,0.000000,4293680.000000,4293680
rustls,EXP_DBL_1248,10,10.848261,10.828216,0.041621,78.900313,78.900313,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1249,10,10.845860,10.814618,0.016181,77.679041,77.679041,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1250,10,10.839595,10.824703,0.016909,77.586152,77.586152,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1251,10,10.840999,10.826919,0.017717,77.861151,77.861151,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1252,10,10.852718,10.827783,0.057052,77.800216,77.800216,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1253,10,10.840853,10.832400,0.045424,77.362134,77.362134,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1254,10,10.834896,10.821481,0.021728,76.740476,76.740476,0.000000,4287968.000000,4287968
rustls,EXP_DBL_1255,10,10.829057,10.812603,0.022162,78.070026,78.070026,0.000000,4293992.000000,4293992
rustls,EXP_DBL_1256,10,10.840695,10.823169,0.040366,77.745002,77.745002,0.000000,4290608.000000,4290608
rustls,EXP_DBL_1257,10,10.842128,10.811770,0.027412,77.263359,77.263359,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1258,10,10.819935,10.811922,0.045066,76.880650,76.880650,0.000000,4295184.000000,4295184
