Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
hyper,EXP_DBL_0005,10,13.366974,13.432556,0.083675,44208409.460000,44441497.200000,231409.800000,4744.500000,4718.500000,24.750000,48.383651,48.383651,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0006,10,13.211384,13.167005,0.312223,43639317.270000,43642325.750000,1348298.300000,4806.400000,4805.000000,148.250000,48.412338,48.412338,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0007,10,13.196002,13.196202,0.352767,43636654.440000,43378919.700000,1253315.125000,4806.800000,4834.000000,138.000000,48.514532,48.514532,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0008,10,13.176122,13.186571,0.261456,43629751.690000,43647417.350000,940881.350000,4806.900000,4804.500000,104.250000,48.892065,48.892065,0.000000,173009600.000000,173009600
hyper,EXP_DBL_0009,10,13.120292,13.116979,0.111997,43382660.710000,43381362.300000,196905.850000,4833.900000,4834.000000,22.250000,48.699271,48.699271,0.000000,173007472.000000,173007472
hyper,EXP_DBL_000_BASELINE,10,13.319498,13.382831,0.361918,44060237.800000,44132896.700000,1164827.250000,4760.600000,4752.000000,125.500000,48.484973,48.484973,0.000000,173009216.000000,173009216
hyper,EXP_DBL_0010,10,13.135248,13.146149,0.164023,43395343.820000,43452041.700000,234966.850000,4832.700000,4826.000000,26.250000,48.903088,48.903088,0.000000,173007960.000000,173007960
hyper,EXP_DBL_0011,10,12.978143,12.959703,0.325453,42821692.720000,42632685.300000,1176747.350000,4898.200000,4919.000000,133.500000,48.295545,48.295545,0.000000,173007016.000000,173007016
hyper,EXP_DBL_0012,10,13.079143,13.113988,0.133069,43220362.800000,43337140.550000,236319.000000,4852.200000,4839.000000,26.250000,48.345282,48.345282,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0013,10,13.080517,13.116912,0.126933,43276799.500000,43422992.100000,548254.525000,4845.900000,4829.500000,61.500000,46.934230,46.934230,0.000000,173006544.000000,173006544
hyper,EXP_DBL_0014,10,13.169348,13.138186,0.363616,43550928.180000,43384178.650000,1330102.750000,4816.500000,4834.000000,147.250000,48.333367,48.333367,0.000000,172997360.000000,172997360
hyper,EXP_DBL_0015,10,12.923172,12.882306,0.324730,42726352.320000,42639054.200000,1221559.725000,4909.200000,4918.000000,140.750000,48.852635,48.852635,0.000000,173009600.000000,173009600
hyper,EXP_DBL_0016,10,13.205789,13.196306,0.133944,43669109.270000,43651187.550000,359402.250000,4802.600000,4804.000000,39.250000,48.885140,48.885140,0.000000,173009408.000000,173009408
hyper,EXP_DBL_0017,10,13.098006,13.136019,0.365892,43310490.320000,43541997.100000,1065951.975000,4843.200000,4816.000000,119.000000,48.483215,48.483215,0.000000,172951648.000000,172951648
hyper,EXP_DBL_0018,10,13.139355,13.255426,0.672484,43454746.900000,43898930.300000,2263568.325000,4828.700000,4777.500000,253.250000,48.203098,48.203098,0.000000,173020496.000000,173020496
hyper,EXP_DBL_0019,10,13.246279,13.264629,0.292370,43765450.110000,43735479.250000,453886.125000,4791.900000,4794.500000,50.000000,48.349624,48.349624,0.000000,173009600.000000,173009600
