Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med,run_repeats_med
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0743,10,6.654956,6.664480,0.244172,0.036638,118.301182,118.301182,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0134,10,6.458892,6.458287,0.236562,0.036629,120.450336,120.450336,0.000000,0.000000,2621472.000000,2621472,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1186,10,6.666878,6.715203,0.245908,0.036620,128.061248,128.061248,0.000000,0.000000,2622576.000000,2622576,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1002,10,6.574756,6.609831,0.242042,0.036618,118.019209,118.019209,0.000000,0.000000,2621488.000000,2621488,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0731,10,6.732332,6.709233,0.245666,0.036616,119.672692,119.672692,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0594,10,6.721414,6.730961,0.246270,0.036588,112.091435,112.091435,0.000000,0.000000,2606864.000000,2606864,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0707,10,6.721336,6.728402,0.245941,0.036553,119.841321,119.841321,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0034,10,6.555664,6.557303,0.239439,0.036515,125.444988,125.444988,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0602,10,6.696101,6.734301,0.245718,0.036488,117.466821,117.466821,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1097,10,5.810218,5.799537,0.211420,0.036455,123.234371,123.234371,0.000000,0.000000,2629824.000000,2629824,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1427,10,6.770605,6.798450,0.247655,0.036428,115.541849,115.541849,0.000000,0.000000,2620832.000000,2620832,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1230,10,6.697396,6.750056,0.245587,0.036383,129.085261,129.085261,0.000000,0.000000,2622576.000000,2622576,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1585,10,6.914909,6.863479,0.249523,0.036355,137.943753,137.943753,0.000000,0.000000,2620128.000000,2620128,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0903,10,7.114713,7.123408,0.258903,0.036345,121.127961,121.127961,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1190,10,6.941611,6.958394,0.252449,0.036280,133.434800,133.434800,0.000000,0.000000,2622576.000000,2622576,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0249,10,6.301582,6.249600,0.226737,0.036280,119.665292,119.665292,0.000000,0.000000,2623224.000000,2623224,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0010,10,6.455538,6.504901,0.235920,0.036268,122.598055,122.598055,0.000000,0.000000,2619248.000000,2619248,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0377,10,6.510325,6.541065,0.237115,0.036250,121.183277,121.183277,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0455,10,6.590976,6.590336,0.238875,0.036246,116.170886,116.170886,0.000000,0.000000,2620240.000000,2620240,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0411,10,6.492231,6.470159,0.234450,0.036236,122.410859,122.410859,0.000000,0.000000,2623184.000000,2623184,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1503,10,6.625794,6.593056,0.238898,0.036235,118.436414,118.436414,0.000000,0.000000,2614784.000000,2614784,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1345,10,6.602313,6.626426,0.239618,0.036161,126.294289,126.294289,0.000000,0.000000,2573896.000000,2573896,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0098,10,6.429686,6.464019,0.233723,0.036158,120.234532,120.234532,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1333,10,6.647221,6.644490,0.240076,0.036132,123.517320,123.517320,0.000000,0.000000,2620616.000000,2620616,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1180,10,6.819849,6.845908,0.247344,0.036130,120.917515,120.917515,0.000000,0.000000,2631792.000000,2631792,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0013,10,6.686882,6.691931,0.241780,0.036130,114.010277,114.010277,0.000000,0.000000,2606864.000000,2606864,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0901,10,7.029774,6.992468,0.252287,0.036080,119.394376,119.394376,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1380,10,6.705349,6.784176,0.244624,0.036058,123.883149,123.883149,0.000000,0.000000,2620616.000000,2620616,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1411,10,6.697859,6.637071,0.239108,0.036026,116.928398,116.928398,0.000000,0.000000,2620616.000000,2620616,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0419,10,6.433565,6.408035,0.230813,0.036019,121.494345,121.494345,0.000000,0.000000,2621680.000000,2621680,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0493,10,6.574819,6.526973,0.234790,0.035972,124.037378,124.037378,0.000000,0.000000,2621680.000000,2621680,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1193,10,6.960431,6.962862,0.249778,0.035873,154.182253,154.182253,0.000000,0.000000,2622576.000000,2622576,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1431,10,6.806773,6.829646,0.244326,0.035774,123.492868,123.492868,0.000000,0.000000,2621088.000000,2621088,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1514,10,6.692887,6.719917,0.240075,0.035726,116.924064,116.924064,0.000000,0.000000,2620784.000000,2620784,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0776,10,6.565234,6.545161,0.233821,0.035724,121.283216,121.283216,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0290,10,6.597246,6.566728,0.234477,0.035707,123.448172,123.448172,0.000000,0.000000,2623536.000000,2623536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1495,10,6.723141,6.703837,0.239197,0.035681,116.954919,116.954919,0.000000,0.000000,2621200.000000,2621200,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0078,10,6.538939,6.580813,0.234514,0.035636,119.802705,119.802705,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1588,10,6.912515,6.905568,0.245955,0.035617,131.526134,131.526134,0.000000,0.000000,2627928.000000,2627928,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0644,10,6.680993,6.705801,0.238604,0.035582,121.669324,121.669324,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0842,10,7.014657,6.923359,0.246328,0.035579,123.796844,123.796844,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0905,10,7.183841,7.234178,0.257236,0.035558,122.375889,122.375889,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0624,10,6.648076,6.621373,0.235347,0.035544,119.306424,119.306424,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1476,10,6.705557,6.740830,0.239514,0.035532,115.280895,115.280895,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0198,10,6.331077,6.330236,0.224775,0.035508,121.936884,121.936884,0.000000,0.000000,2622408.000000,2622408,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0330,10,6.662851,6.677063,0.237085,0.035507,120.742696,120.742696,0.000000,0.000000,2621968.000000,2621968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0252,10,6.525525,6.529497,0.231793,0.035499,121.829450,121.829450,0.000000,0.000000,2621968.000000,2621968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0565,10,6.632706,6.606841,0.234305,0.035464,116.075501,116.075501,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1159,10,6.758732,6.764954,0.239661,0.035427,122.756472,122.756472,0.000000,0.000000,2657776.000000,2657776,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0762,10,6.600252,6.580105,0.233016,0.035412,125.937311,125.937311,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0834,10,7.157744,7.169328,0.253645,0.035379,122.573018,122.573018,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1041,10,6.521916,6.521954,0.230711,0.035375,119.427933,119.427933,0.000000,0.000000,2624784.000000,2624784,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0940,10,6.610311,6.561420,0.232101,0.035374,116.081043,116.081043,0.000000,0.000000,2621512.000000,2621512,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1582,10,7.021143,7.028020,0.248460,0.035353,134.755210,134.755210,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0721,10,6.635591,6.626750,0.234107,0.035328,123.480948,123.480948,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0765,10,6.588793,6.617098,0.233654,0.035311,125.837916,125.837916,0.000000,0.000000,2630784.000000,2630784,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0440,10,6.580270,6.594264,0.232846,0.035310,123.088291,123.088291,0.000000,0.000000,2621680.000000,2621680,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0695,10,6.670630,6.720323,0.237282,0.035308,121.428773,121.428773,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1451,10,6.701619,6.739791,0.237543,0.035245,119.570806,119.570806,0.000000,0.000000,2620064.000000,2620064,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1367,10,6.628381,6.644141,0.233823,0.035192,123.477556,123.477556,0.000000,0.000000,2620616.000000,2620616,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0328,10,6.535289,6.587548,0.231723,0.035176,118.907426,118.907426,0.000000,0.000000,2621968.000000,2621968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0067,10,6.580977,6.580656,0.231386,0.035162,124.165254,124.165254,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0429,10,6.550566,6.524883,0.229253,0.035135,118.660621,118.660621,0.000000,0.000000,2612496.000000,2612496,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0675,10,6.354383,6.351619,0.223115,0.035127,119.955096,119.955096,0.000000,0.000000,2639768.000000,2639768,75
