Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_1404,10,12.641046,0.588455,0.046551,8.087602,0.000000,0.000000,417488
B,EXP_DBL_1087,10,16.480286,0.761994,0.046237,7.290863,0.000000,0.000000,417648
A,EXP_DBL_1430,10,12.949794,0.595501,0.045985,8.014849,0.000000,0.000000,417488
A,EXP_DBL_1426,10,13.489509,0.589563,0.043705,7.136817,0.000000,0.000000,417504
A,EXP_DBL_1409,10,12.678286,0.543039,0.042832,7.094700,0.000000,0.000000,417488
B,EXP_DBL_1385,10,17.549807,0.738688,0.042091,7.224801,0.000000,0.000000,417488
B,EXP_DBL_1389,10,17.581136,0.732753,0.041678,7.633413,0.000000,0.000000,417488
B,EXP_DBL_1388,10,17.822185,0.725912,0.040731,7.885815,0.000000,0.000000,417488
B,EXP_DBL_1083,10,16.629303,0.664404,0.039954,8.018185,0.000000,0.000000,417616
B,EXP_DBL_1098,10,16.885985,0.649359,0.038456,7.229679,0.000000,0.000000,417616
A,EXP_DBL_1415,10,13.643548,0.522571,0.038302,7.988679,0.000000,0.000000,417488
A,EXP_DBL_1082,10,11.283055,0.428632,0.037989,7.290867,0.000000,0.000000,417616
B,EXP_DBL_1405,10,17.811393,0.669650,0.037597,7.389905,0.000000,0.000000,417488
B,EXP_DBL_1420,10,17.774177,0.662190,0.037256,7.717566,0.000000,0.000000,417264
A,EXP_DBL_1418,10,12.897284,0.470270,0.036463,8.171892,0.000000,0.000000,417488
B,EXP_DBL_1413,10,17.800386,0.646629,0.036327,8.751573,0.000000,0.000000,417520
B,EXP_DBL_1396,10,17.700121,0.629699,0.035576,8.047450,0.000000,0.000000,417488
A,EXP_DBL_1314,10,10.987115,0.388400,0.035350,7.817183,0.000000,0.000000,417488
A,EXP_DBL_1401,10,13.098084,0.452955,0.034582,8.122413,0.000000,0.000000,417488
B,EXP_DBL_1410,10,18.292991,0.626085,0.034225,7.330014,0.000000,0.000000,419888
B,EXP_DBL_1390,10,17.893397,0.601868,0.033636,7.361654,0.000000,0.000000,417488
B,EXP_DBL_1398,10,17.660369,0.591378,0.033486,7.195072,0.000000,0.000000,417488
