Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
L,EXP_DBL_1638,10,4.431069,0.020875,0.567667,0.016111,452288,15,74,28,69,699,8
L,EXP_DBL_1639,10,4.428092,0.046929,0.563452,0.011585,452288,15,74,28,69,699,8
L,EXP_DBL_1640,10,4.443276,0.046191,0.564739,0.009568,452288,15,74,28,69,699,8
L,EXP_DBL_1641,10,4.091463,0.047453,0.563489,0.007809,452320,15,74,28,69,699,8
L,EXP_DBL_1642,10,4.432462,0.022606,0.561342,0.014904,452288,15,74,28,69,699,8
L,EXP_DBL_1643,10,4.441935,0.032726,0.565247,0.013662,452288,15,74,28,69,699,8
L,EXP_DBL_1644,10,4.430432,0.024836,0.568624,0.012120,452288,15,74,28,69,699,8
L,EXP_DBL_1645,10,4.430775,0.065428,0.563772,0.016269,452288,15,74,28,69,699,8
L,EXP_DBL_1646,10,4.463331,0.045670,0.563553,0.011573,452288,15,74,28,69,699,8
L,EXP_DBL_1647,10,4.427334,0.029046,0.565621,0.008027,452288,15,74,28,69,699,8
L,EXP_DBL_1648,10,4.425804,0.031979,0.566529,0.011679,452288,15,74,28,69,699,8
L,EXP_DBL_1649,10,4.294823,0.034219,0.563620,0.009573,452432,15,74,28,69,699,8
L,EXP_DBL_1650,10,4.436599,0.028729,0.561209,0.012520,452288,15,74,28,69,699,8
L,EXP_DBL_1651,10,4.424703,0.019917,0.567703,0.005414,452288,15,74,28,69,699,8
L,EXP_DBL_1652,10,4.427452,0.039057,0.565968,0.006052,452288,15,74,28,69,699,8
L,EXP_DBL_1653,10,4.445011,0.040882,0.563489,0.009307,452288,15,74,28,69,699,8
L,EXP_DBL_1654,10,4.395103,0.054652,0.566399,0.015821,452288,15,74,28,69,699,8
L,EXP_DBL_1655,10,4.446585,0.080740,0.566554,0.011577,452288,15,74,28,69,699,8
L,EXP_DBL_1656,10,4.433388,0.032558,0.564172,0.006724,452288,15,74,28,69,699,8
L,EXP_DBL_1657,10,4.385012,0.028279,0.562463,0.006754,452576,15,74,28,69,699,8
L,EXP_DBL_1658,10,4.417457,0.060298,0.561222,0.008543,452288,15,74,28,69,699,8
L,EXP_DBL_1659,10,4.394884,0.050773,0.561268,0.012318,452384,15,74,28,69,699,8
L,EXP_DBL_1660,10,4.430910,0.030247,0.563057,0.015135,452288,15,74,28,69,699,8
S,EXP_DBL_1540,10,4.045818,0.052839,0.556768,0.020432,452256,15,74,28,69,699,8
S,EXP_DBL_1541,10,4.163119,0.085312,0.554976,0.016355,452288,15,74,28,69,699,8
S,EXP_DBL_1542,10,4.066586,0.052309,0.557507,0.009191,452288,15,74,28,69,699,8
S,EXP_DBL_1543,10,4.059360,0.065933,0.555358,0.013113,452288,15,74,28,69,699,8
S,EXP_DBL_1544,10,4.338345,0.021702,0.551654,0.011620,451840,15,74,28,69,699,8
S,EXP_DBL_1545,10,4.062439,0.029757,0.554782,0.004350,452272,15,74,28,69,699,8
S,EXP_DBL_1546,10,4.032451,0.059309,0.554377,0.009082,452288,15,74,28,69,699,8
S,EXP_DBL_1547,10,4.036470,0.019572,0.558698,0.005234,452288,15,74,28,69,699,8
S,EXP_DBL_1548,10,4.035594,0.032190,0.556862,0.012604,452336,15,74,28,69,699,8
S,EXP_DBL_1549,10,4.055707,0.033775,0.559490,0.008310,452288,15,74,28,69,699,8
S,EXP_DBL_1550,10,4.088349,0.041582,0.557022,0.006258,452288,15,74,28,69,699,8
S,EXP_DBL_1551,10,4.060308,0.061637,0.558034,0.008059,452288,15,74,28,69,699,8
S,EXP_DBL_1552,10,4.009700,0.031140,0.554551,0.013856,452288,15,74,28,69,699,8
S,EXP_DBL_1553,10,4.049957,0.026562,0.558690,0.008794,452288,15,74,28,69,699,8
S,EXP_DBL_1554,10,4.075661,0.057901,0.553856,0.013305,452288,15,74,28,69,699,8
S,EXP_DBL_1555,10,4.051721,0.065144,0.559891,0.010210,452288,15,74,28,69,699,8
S,EXP_DBL_1556,10,4.050310,0.060440,0.555568,0.013274,452288,15,74,28,69,699,8
S,EXP_DBL_1557,10,4.053093,0.057511,0.558121,0.003779,452288,15,74,28,69,699,8
S,EXP_DBL_1558,10,4.032659,0.023591,0.559455,0.018766,452320,15,74,28,69,699,8
S,EXP_DBL_1559,10,4.054778,0.054317,0.557289,0.010559,452288,15,74,28,69,699,8
S,EXP_DBL_1560,10,4.044720,0.045565,0.556380,0.009046,452288,15,74,28,69,699,8
S,EXP_DBL_1561,10,4.036163,0.037081,0.543721,0.015374,452288,15,74,28,69,699,8
S,EXP_DBL_1562,10,4.013280,0.056196,0.546532,0.016526,452288,15,74,28,69,699,8
S,EXP_DBL_1563,10,4.031930,0.054611,0.546301,0.011989,452288,15,74,28,69,699,8
S,EXP_DBL_1564,10,4.083803,0.067745,0.556266,0.014643,452288,15,74,28,69,699,8
S,EXP_DBL_1565,10,4.101531,0.073818,0.553187,0.020243,452288,15,74,28,69,699,8
S,EXP_DBL_1566,10,4.135343,0.062768,0.554029,0.011250,452432,15,74,28,69,699,8
S,EXP_DBL_1567,10,4.109558,0.027304,0.547794,0.012426,452288,15,74,28,69,699,8
S,EXP_DBL_1568,10,4.070856,0.046674,0.548323,0.018347,452288,15,74,28,69,699,8
S,EXP_DBL_1569,10,4.113102,0.049017,0.552846,0.012780,452288,15,74,28,69,699,8
