Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
L,EXP_DBL_1656,10,4.433388,0.032558,0.007344,0.564172,0.006724,0.011918,452288
L,EXP_DBL_1568,10,4.424404,0.032462,0.007337,0.548323,0.018347,0.033460,452288
B,EXP_DBL_1598,10,4.480795,0.032827,0.007326,0.560488,0.012666,0.022598,452288
S,EXP_DBL_1545,10,4.062439,0.029757,0.007325,0.554782,0.004350,0.007841,452272
B,EXP_DBL_1603,10,4.480797,0.032727,0.007304,0.567572,0.010606,0.018687,452288
B,EXP_DBL_1557,10,4.449769,0.032461,0.007295,0.558121,0.003779,0.006771,452288
L,EXP_DBL_1597,10,4.429664,0.032300,0.007292,0.554158,0.008204,0.014804,452288
B,EXP_DBL_1634,10,4.484533,0.032669,0.007285,0.567334,0.013815,0.024351,452288
L,EXP_DBL_1611,10,4.417134,0.032155,0.007280,0.558013,0.014622,0.026204,452288
L,EXP_DBL_1562,10,4.403040,0.032024,0.007273,0.546532,0.016526,0.030238,452288
S,EXP_DBL_1637,10,4.118680,0.029952,0.007272,0.565381,0.011030,0.019509,452288
L,EXP_DBL_1573,10,4.413084,0.032082,0.007270,0.562180,0.007416,0.013192,452288
L,EXP_DBL_1560,10,4.399785,0.031960,0.007264,0.556380,0.009046,0.016259,452288
B,EXP_DBL_1596,10,4.505688,0.032671,0.007251,0.564191,0.008182,0.014502,452288
B,EXP_DBL_1559,10,4.469694,0.032355,0.007239,0.557289,0.010559,0.018947,452288
L,EXP_DBL_1648,10,4.425804,0.031979,0.007226,0.566529,0.011679,0.020615,452288
B,EXP_DBL_1561,10,4.475529,0.032225,0.007200,0.543721,0.015374,0.028276,452288
B,EXP_DBL_1653,10,4.515162,0.032309,0.007156,0.563489,0.009307,0.016517,452288
L,EXP_DBL_1614,10,4.430406,0.031515,0.007113,0.564443,0.011186,0.019818,452288
L,EXP_DBL_1629,10,4.456941,0.031659,0.007103,0.557241,0.015906,0.028544,452288
B,EXP_DBL_1619,10,4.512391,0.031872,0.007063,0.559718,0.013914,0.024859,452288
B,EXP_DBL_1570,10,4.504145,0.031637,0.007024,0.560335,0.009516,0.016983,452288
B,EXP_DBL_1581,10,4.503062,0.031361,0.006964,0.565817,0.010375,0.018336,452288
L,EXP_DBL_1558,10,4.109037,0.028551,0.006948,0.559455,0.018766,0.033543,452320
B,EXP_DBL_1583,10,4.510263,0.031191,0.006916,0.566312,0.013171,0.023257,452288
B,EXP_DBL_1547,10,4.455592,0.030699,0.006890,0.558698,0.005234,0.009368,452288
B,EXP_DBL_1633,10,4.514676,0.031070,0.006882,0.562790,0.014588,0.025921,452288
L,EXP_DBL_1583,10,4.451458,0.030596,0.006873,0.566312,0.013171,0.023257,452288
L,EXP_DBL_1544,10,4.269125,0.029295,0.006862,0.551654,0.011620,0.021064,451840
L,EXP_DBL_1660,10,4.430910,0.030247,0.006826,0.563057,0.015135,0.026880,452288
B,EXP_DBL_1542,10,4.464062,0.030291,0.006786,0.557507,0.009191,0.016486,452288
L,EXP_DBL_1567,10,4.419350,0.029707,0.006722,0.547794,0.012426,0.022684,452288
B,EXP_DBL_1614,10,4.499262,0.030038,0.006676,0.564443,0.011186,0.019818,452288
S,EXP_DBL_1567,10,4.109558,0.027304,0.006644,0.547794,0.012426,0.022684,452288
B,EXP_DBL_1552,10,4.469988,0.029527,0.006606,0.554551,0.013856,0.024986,452288
L,EXP_DBL_1542,10,4.404419,0.028951,0.006573,0.557507,0.009191,0.016486,452288
L,EXP_DBL_1647,10,4.427334,0.029046,0.006561,0.565621,0.008027,0.014191,452288
S,EXP_DBL_1553,10,4.049957,0.026562,0.006559,0.558690,0.008794,0.015740,452288
B,EXP_DBL_1657,10,4.403250,0.028841,0.006550,0.562463,0.006754,0.012008,452576
L,EXP_DBL_1546,10,4.419118,0.028896,0.006539,0.554377,0.009082,0.016382,452288
B,EXP_DBL_1604,10,4.497968,0.029166,0.006484,0.561580,0.006094,0.010852,452288
L,EXP_DBL_1650,10,4.436599,0.028729,0.006475,0.561209,0.012520,0.022309,452288
L,EXP_DBL_1657,10,4.385012,0.028279,0.006449,0.562463,0.006754,0.012008,452576
B,EXP_DBL_1609,10,4.500189,0.028763,0.006392,0.564277,0.010559,0.018712,452288
B,EXP_DBL_1656,10,4.490736,0.028609,0.006371,0.564172,0.006724,0.011918,452288
L,EXP_DBL_1548,10,4.143444,0.026238,0.006332,0.556862,0.012604,0.022634,452336
L,EXP_DBL_1549,10,4.406426,0.027771,0.006302,0.559490,0.008310,0.014853,452288
S,EXP_DBL_1620,10,4.110112,0.025808,0.006279,0.565341,0.008701,0.015391,452288
B,EXP_DBL_1651,10,4.503718,0.028175,0.006256,0.567703,0.005414,0.009537,452288
B,EXP_DBL_1649,10,4.205249,0.026261,0.006245,0.563620,0.009573,0.016985,452432
L,EXP_DBL_1594,10,4.716828,0.029122,0.006174,0.564945,0.008434,0.014929,451632
B,EXP_DBL_1589,10,4.491369,0.027598,0.006145,0.568198,0.012460,0.021929,452288
S,EXP_DBL_1658,10,4.100123,0.025084,0.006118,0.561222,0.008543,0.015222,452288
L,EXP_DBL_1571,10,4.438252,0.027127,0.006112,0.554131,0.007055,0.012732,452288
