Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
regex-cli,EXP_ABL_048_disable-mergeicmps,10,3.747203,3.736373,0.056104,41.331848,41.390749,0.441568,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_049_disable-non-allocatable-phys-copy-opt,10,3.734186,3.717788,0.051742,41.178486,41.199476,0.422648,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_050_disable-phi-elim-edge-splitting,10,3.764753,3.750755,0.060785,41.013391,41.042527,0.438848,34435624.000000,34435624,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_051_disable-postra-machine-sink,10,3.840793,3.836866,0.059856,41.091188,41.097373,0.396658,34509008.000000,34509008,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_052_disable-preinline,10,3.715383,3.712800,0.021824,41.145277,41.124180,0.324199,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_053_disable-select-optimize,10,3.737003,3.739102,0.063120,41.180978,41.193308,0.247082,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_054_disable-ssc,10,3.774541,3.753607,0.075725,41.405697,41.468874,0.578844,34591528.000000,34591528,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_055_disable-type-promotion,10,3.757143,3.770826,0.023034,41.312363,41.145727,0.489966,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_056_disable-auto-upgrade-debug-info,10,3.738311,3.741646,0.075224,41.105280,40.959842,0.413051,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_057_disable-bitcode-version-upgrade,10,3.766048,3.765439,0.096567,41.279055,41.192177,0.621014,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_058_disable-cfi-fixup,10,3.694715,3.689949,0.033064,41.327720,41.439318,0.508662,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_059_disable-cgdata-for-merging,10,3.741594,3.735005,0.099793,41.388364,41.397205,0.422609,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_060_disable-global-outlining,10,3.736884,3.723115,0.079148,41.241163,41.201910,0.517004,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_061_disable-last-run-tracking,10,3.712165,3.688789,0.064714,41.462838,41.550894,0.616182,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_062_disable-layout-fsprofile-loader,10,3.739155,3.742598,0.107197,41.285846,41.301278,0.293317,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_063_disable-nofree-inference,10,3.723858,3.713263,0.043837,41.255613,41.232996,0.512821,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_064_disable-nounwind-inference,10,3.763211,3.761162,0.057852,41.097502,41.170014,0.461030,34535832.000000,34535832,4621.000000,4621,12330.000000,12330,11890.000000,11890,17036.000000,17036,5946.000000,5946,1134.000000,1134
regex-cli,EXP_ABL_065_disable-ondemand-mds-loading,10,3.700858,3.687218,0.028026,41.203585,41.153343,0.546556,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_066_disable-ra-fsprofile-loader,10,3.775284,3.790487,0.089579,41.096043,41.070966,0.382181,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_067_disable-sample-loader-inlining,10,3.732105,3.717426,0.061416,41.010346,40.953195,0.313655,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_068_disable-thinlto-funcattrs,10,3.747489,3.732847,0.089224,41.195444,41.089757,0.569458,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_069_disable-vp,10,3.718679,3.689392,0.083209,41.130010,41.084899,0.586583,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_070_disable-whole-program-visibility,10,3.736912,3.722759,0.032241,41.312419,41.260659,0.455744,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_071_disable-2addr-hack,10,3.747312,3.755075,0.067055,41.299700,41.300258,0.490361,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_072_disable-cgp,10,3.809704,3.832587,0.066906,41.153211,41.068459,0.335184,34659464.000000,34659464,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_073_disable-cgp-gc-opts,10,3.718190,3.711614,0.049139,41.139257,41.180405,0.342622,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_074_disable-complex-addr-modes,10,3.751835,3.739879,0.015835,41.210160,41.247513,0.514830,34549848.000000,34549848,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_075_disable-dfa-sched,10,3.742854,3.734307,0.080037,41.245263,41.192199,0.693990,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_076_disable-i2p-p2i-opt,10,3.820699,3.785474,0.092003,41.344240,41.322249,0.553968,34545584.000000,34545584,4621.000000,4621,12284.000000,12284,11863.000000,11863,16994.000000,16994,5910.000000,5910,1131.000000,1131
regex-cli,EXP_ABL_077_disable-mr-partial-inlining,10,3.730964,3.737073,0.048752,41.314089,41.279961,0.581070,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_078_disable-partial-inlining,10,3.728547,3.699512,0.028301,41.023225,40.959355,0.490436,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_079_disable-partial-libcall-inlining,10,3.745799,3.740492,0.091567,41.416195,41.511299,0.338498,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_080_disable-peephole,10,3.836944,3.868245,0.082389,41.364627,41.316360,0.524886,34651384.000000,34651384,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
