Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
regex-cli,EXP_DBL_1597,10,3.804458,3.764537,0.097654,0.025941,40.529426,40.493288,0.537284,0.013268,34516280.000000,34516280
regex-cli,EXP_DBL_1501,10,3.806222,3.830482,0.099307,0.025925,40.721964,40.652376,0.839468,0.020650,34505240.000000,34505240
regex-cli,EXP_DBL_1045,10,3.764368,3.737255,0.096889,0.025925,40.611756,40.455822,0.369363,0.009130,34533336.000000,34533336
regex-cli,EXP_ABL_017_ScalarReplacementOfAggregates,10,3.778401,3.814200,0.098798,0.025903,40.370347,40.340885,0.295419,0.007323,34518944.000000,34518944
regex-cli,EXP_DBL_0271,10,3.802456,3.829990,0.099187,0.025897,41.333179,41.396388,0.442620,0.010692,34501952.000000,34501952
regex-cli,EXP_DBL_0983,10,3.738093,3.719563,0.096310,0.025893,40.491059,40.453809,0.484191,0.011969,34541128.000000,34541128
regex-cli,EXP_DBL_0090,10,3.742762,3.737627,0.096752,0.025886,41.987438,41.931738,0.395691,0.009437,34529072.000000,34529072
regex-cli,EXP_DBL_0906,10,3.823142,3.833256,0.099224,0.025885,42.690222,42.738349,0.576647,0.013492,33106304.000000,33106304
regex-cli,EXP_DBL_1490,10,3.792544,3.762775,0.097364,0.025876,44.956229,44.981661,0.136645,0.003038,34521400.000000,34521400
regex-cli,EXP_DBL_0172,10,3.802493,3.802385,0.098378,0.025873,40.441932,40.417798,0.277620,0.006869,34559432.000000,34559432
regex-cli,EXP_DBL_0335,10,3.803654,3.798723,0.098268,0.025869,41.270118,41.187795,0.334262,0.008116,34511088.000000,34511088
regex-cli,EXP_DBL_1240,10,3.777380,3.741791,0.096728,0.025851,41.684617,41.714495,0.354123,0.008489,34528624.000000,34528624
regex-cli,EXP_DBL_0327,10,3.771010,3.748344,0.096835,0.025834,41.029932,41.019401,0.345330,0.008419,34501952.000000,34501952
regex-cli,EXP_DBL_0602,10,3.769753,3.778079,0.097580,0.025828,40.510890,40.587882,0.306233,0.007545,34529072.000000,34529072
regex-cli,EXP_DBL_1615,10,3.762604,3.733301,0.096417,0.025826,40.780542,40.723920,0.434318,0.010665,34529160.000000,34529160
regex-cli,EXP_DBL_0238,10,3.809654,3.813616,0.098473,0.025821,41.074042,41.081881,0.584770,0.014234,34697728.000000,34697728
regex-cli,EXP_DBL_0126,10,3.753813,3.743680,0.096649,0.025817,41.252545,41.218830,0.546211,0.013251,34529072.000000,34529072
