Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,ns_iqr_ratio,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
tokio,EXP_DBL_0193,10,10.100868,10.087048,0.029179,892.154000,875.695000,7.635000,0.008719,,,,58.920157,58.920157,0.000000,0.000000,4041304.000000,4041304
tokio,EXP_DBL_1255,10,10.098029,10.095474,0.047746,879.448000,877.250000,7.645000,0.008715,,,,59.990842,59.990842,0.000000,0.000000,4046952.000000,4046952
tokio,EXP_ABL_017_ScalarReplacementOfAggregates,10,10.232122,10.230524,0.038106,879.366000,876.160000,7.635000,0.008714,,,,61.711571,61.711571,0.000000,0.000000,4045544.000000,4045544
tokio,EXP_DBL_0834,10,9.993948,10.297389,0.945985,952.705000,950.705000,8.280000,0.008709,,,,61.497383,61.497383,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_0090,10,10.035415,10.031359,0.030538,887.157000,885.380000,7.700000,0.008697,,,,58.883629,58.883629,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0938,10,10.232750,10.227781,0.131653,890.389000,883.610000,7.685000,0.008697,,,,61.349973,61.349973,0.000000,0.000000,4046360.000000,4046360
tokio,EXP_DBL_0040,10,9.959679,10.015068,0.073703,893.492000,884.425000,7.677500,0.008681,,,,58.791761,58.791761,0.000000,0.000000,4041600.000000,4041600
tokio,EXP_DBL_0091,10,10.143071,10.041863,0.051837,881.112000,874.220000,7.587500,0.008679,,,,58.986324,58.986324,0.000000,0.000000,4041384.000000,4041384
tokio,EXP_DBL_1576,10,10.112823,10.110775,0.068096,885.495000,883.725000,7.662500,0.008671,,,,60.658838,60.658838,0.000000,0.000000,4067312.000000,4067312
tokio,EXP_DBL_0582,10,10.119841,10.015825,0.024206,883.251000,876.595000,7.595000,0.008664,,,,58.729736,58.729736,0.000000,0.000000,4041384.000000,4041384
tokio,EXP_DBL_1012,10,9.979766,10.052999,0.048078,886.548000,879.435000,7.617500,0.008662,,,,59.045587,59.045587,0.000000,0.000000,4041032.000000,4041032
tokio,EXP_DBL_1466,10,10.112084,10.110525,0.068653,880.126000,878.645000,7.610000,0.008661,,,,61.314319,61.314319,0.000000,0.000000,4042528.000000,4042528
tokio,EXP_DBL_1381,10,10.065640,10.050334,0.030054,885.170000,877.675000,7.600000,0.008659,,,,59.342626,59.342626,0.000000,0.000000,4045544.000000,4045544
tokio,EXP_DBL_1322,10,10.122936,10.096159,0.059380,879.600000,879.305000,7.610000,0.008655,,,,60.875719,60.875719,0.000000,0.000000,4050376.000000,4050376
